id,gender,masterCategory,subCategory,articleType,baseColour,usage,productDisplayName,filename,Price,Location,Vendor
53759,Men,Apparel,Topwear,Tshirts,Grey,Casual,Puma Men Grey T-shirt,../input/fashion-product-images-dataset/fashion-dataset/images/53759.jpg,953,new cairo,CairoCouture
18237,Men,Apparel,Topwear,Tshirts,Red,Casual,Manchester United Men Solid Red Tshirt,../input/fashion-product-images-dataset/fashion-dataset/images/18237.jpg,535,new cairo,CairoCouture
28200,Men,Accessories,Eyewear,Sunglasses,Copper,Casual,Ray-Ban Men Active Lifestyle Copper Sunglasses,../input/fashion-product-images-dataset/fashion-dataset/images/28200.jpg,1682,new cairo,CairoCouture
7167,Men,Apparel,Topwear,Shirts,Purple,Casual,Scullers Men Scul Purple White Shirt,../input/fashion-product-images-dataset/fashion-dataset/images/7167.jpg,813,new cairo,CairoCouture
51693,Unisex,Accessories,Eyewear,Sunglasses,Brown,Casual,Van Heusen Unisex Brown Sunglasses,../input/fashion-product-images-dataset/fashion-dataset/images/51693.jpg,1846,new cairo,CairoCouture
59264,Women,Accessories,Watches,Watches,White,Casual,Titan Women White Watch,../input/fashion-product-images-dataset/fashion-dataset/images/59264.jpg,2410,new cairo,CairoCouture
43163,Men,Accessories,Watches,Watches,White,Casual,Fastrack Men White Dial Watch,../input/fashion-product-images-dataset/fashion-dataset/images/43163.jpg,2665,new cairo,CairoCouture
11520,Women,Apparel,Bottomwear,Jeans,Black,Casual,United Colors of Benetton Women Denim Black Jeans,../input/fashion-product-images-dataset/fashion-dataset/images/11520.jpg,568,new cairo,CairoCouture
3706,Men,Apparel,Topwear,Tshirts,Grey,Casual,Classic Polo Men's Grey Red & Brown Stripe T-shirt,../input/fashion-product-images-dataset/fashion-dataset/images/3706.jpg,792,new cairo,CairoCouture
53761,Men,Apparel,Topwear,Tshirts,Green,Casual,Puma Men Green and Blue T-shirt,../input/fashion-product-images-dataset/fashion-dataset/images/53761.jpg,992,new cairo,CairoCouture
38601,Men,Apparel,Topwear,Tshirts,Red,Casual,Nike Men Printed Red T-shirt,../input/fashion-product-images-dataset/fashion-dataset/images/38601.jpg,515,new cairo,CairoCouture
23282,Men,Accessories,Watches,Watches,Off White,Casual,Maxima Men Off White Dial Watch,../input/fashion-product-images-dataset/fashion-dataset/images/23282.jpg,3143,new cairo,CairoCouture
11340,Men,Apparel,Bottomwear,Jeans,Blue,Casual,Lee Men Blue Chicago Fit Jeans,../input/fashion-product-images-dataset/fashion-dataset/images/11340.jpg,920,new cairo,CairoCouture
4727,Boys,Apparel,Topwear,Tshirts,Blue,Casual,Disney Kids Boy's Regatta Annual Blue Teen Kidswear,../input/fashion-product-images-dataset/fashion-dataset/images/4727.jpg,714,new cairo,CairoCouture
18201,Men,Apparel,Topwear,Jackets,Olive,Casual,Nike Men Casual Olive Jacket,../input/fashion-product-images-dataset/fashion-dataset/images/18201.jpg,788,new cairo,CairoCouture
42883,Women,Accessories,Bags,Handbags,Black,Casual,French Connection Women Black Sling Bag,../input/fashion-product-images-dataset/fashion-dataset/images/42883.jpg,1125,new cairo,CairoCouture
32767,Men,Apparel,Topwear,Shirts,White,Formal,John Miller Men Striped White Shirt,../input/fashion-product-images-dataset/fashion-dataset/images/32767.jpg,683,new cairo,CairoCouture
58728,Women,Apparel,Topwear,Tshirts,Pink,Casual,Puma Women Pink T-shirt,../input/fashion-product-images-dataset/fashion-dataset/images/58728.jpg,920,new cairo,CairoCouture
23285,Men,Accessories,Watches,Watches,White,Casual,Maxima Men White Watch,../input/fashion-product-images-dataset/fashion-dataset/images/23285.jpg,2814,new cairo,CairoCouture
26333,Women,Accessories,Watches,Watches,White,Casual,DKNY Women White Dial Watch NY4934,../input/fashion-product-images-dataset/fashion-dataset/images/26333.jpg,2582,new cairo,CairoCouture
19717,Men,Apparel,Topwear,Shirts,Blue,Casual,United Colors of Benetton Men Check Blue Shirt,../input/fashion-product-images-dataset/fashion-dataset/images/19717.jpg,539,new cairo,CairoCouture
4125,Men,Apparel,Topwear,Tshirts,Orange,Sports,Lotto Men Kochi Tuskers Authentic Orange Jersey,../input/fashion-product-images-dataset/fashion-dataset/images/4125.jpg,902,new cairo,CairoCouture
45030,Men,Accessories,Watches,Watches,Black,Casual,Maxima Men Black Watch,../input/fashion-product-images-dataset/fashion-dataset/images/45030.jpg,2654,new cairo,CairoCouture
12795,Men,Apparel,Topwear,Tshirts,Yellow,Casual,Nike Men Brazil Yellow Tshirts,../input/fashion-product-images-dataset/fashion-dataset/images/12795.jpg,765,new cairo,CairoCouture
22332,Men,Apparel,Topwear,Tshirts,Maroon,Casual,John Players Men Solid Maroon Polo T-Shirt,../input/fashion-product-images-dataset/fashion-dataset/images/22332.jpg,973,new cairo,CairoCouture
7550,Men,Apparel,Topwear,Tshirts,Blue,Sports,Nike Men's Teal Blue Polo T-shirt,../input/fashion-product-images-dataset/fashion-dataset/images/7550.jpg,585,new cairo,CairoCouture
7796,Men,Apparel,Topwear,Tshirts,Grey,Casual,Proline Men Grey Polo T-shirt,../input/fashion-product-images-dataset/fashion-dataset/images/7796.jpg,672,new cairo,CairoCouture
9633,Men,Apparel,Topwear,Shirts,White,Formal,Indigo Nation Men Price catch Blue White Shirts,../input/fashion-product-images-dataset/fashion-dataset/images/9633.jpg,514,new cairo,CairoCouture
29147,Men,Apparel,Topwear,Tshirts,Green,Casual,United Colors of Benetton Men Printed Green T-shirt,../input/fashion-product-images-dataset/fashion-dataset/images/29147.jpg,613,new cairo,CairoCouture
16332,Men,Apparel,Topwear,Shirts,Red,Formal,Peter England Men Stripes Red Shirt,../input/fashion-product-images-dataset/fashion-dataset/images/16332.jpg,975,new cairo,CairoCouture
52648,Women,Accessories,Bags,Handbags,Black,Casual,Mod'acc Women Black Handbag,../input/fashion-product-images-dataset/fashion-dataset/images/52648.jpg,905,new cairo,CairoCouture
5852,Women,Accessories,Bags,Handbags,Black,Casual,ADIDAS Women Shoulder Black HandBag,../input/fashion-product-images-dataset/fashion-dataset/images/5852.jpg,1168,new cairo,CairoCouture
29781,Men,Apparel,Bottomwear,Trousers,Charcoal,Casual,Basics Men Steel Charcoal Trousers,../input/fashion-product-images-dataset/fashion-dataset/images/29781.jpg,572,new cairo,CairoCouture
18032,Women,Accessories,Bags,Handbags,Beige,Casual,Lino Perros Women Solid Beige Handbag,../input/fashion-product-images-dataset/fashion-dataset/images/18032.jpg,1075,new cairo,CairoCouture
44978,Women,Accessories,Watches,Watches,Black,Casual,Maxima Women Black Dial Watch,../input/fashion-product-images-dataset/fashion-dataset/images/44978.jpg,3115,new cairo,CairoCouture
29920,Men,Accessories,Watches,Watches,Black,Casual,Police Men Black Dial Chronograph Watch PL12699JSB,../input/fashion-product-images-dataset/fashion-dataset/images/29920.jpg,2811,new cairo,CairoCouture
21947,Women,Accessories,Bags,Handbags,Red,Casual,Murcia Women Red Leatherite Handbag,../input/fashion-product-images-dataset/fashion-dataset/images/21947.jpg,730,new cairo,CairoCouture
16369,Men,Apparel,Bottomwear,Trousers,Grey,Formal,Peter England Men Solid Grey Trouser,../input/fashion-product-images-dataset/fashion-dataset/images/16369.jpg,819,new cairo,CairoCouture
15527,Men,Apparel,Topwear,Tshirts,White,Casual,Puma Men Scribble White Tshirts,../input/fashion-product-images-dataset/fashion-dataset/images/15527.jpg,717,new cairo,CairoCouture
30036,Women,Accessories,Watches,Watches,White,Casual,SKAGEN DENMARK Women White Mother of Pearl Dial Watch 107SSCS,../input/fashion-product-images-dataset/fashion-dataset/images/30036.jpg,2113,new cairo,CairoCouture
11725,Men,Apparel,Topwear,Tshirts,Orange,Casual,Lee Men Printed Orange Tshirts,../input/fashion-product-images-dataset/fashion-dataset/images/11725.jpg,962,new cairo,CairoCouture
25174,Women,Accessories,Bags,Handbags,Brown,Casual,Lino Perros Women Leatherette Brown Handbag,../input/fashion-product-images-dataset/fashion-dataset/images/25174.jpg,1167,new cairo,CairoCouture
7708,Women,Apparel,Bottomwear,Jeans,Blue,Casual,Jealous 21 Women Aliah Blue Jegging,../input/fashion-product-images-dataset/fashion-dataset/images/7708.jpg,988,new cairo,CairoCouture
18236,Men,Apparel,Topwear,Tshirts,White,Casual,Manchester United Men Solid White Tshirt,../input/fashion-product-images-dataset/fashion-dataset/images/18236.jpg,821,new cairo,CairoCouture
17417,Men,Accessories,Watches,Watches,Black,Casual,CASIO ENTICER Men Black Dial Analogue Watch A416,../input/fashion-product-images-dataset/fashion-dataset/images/17417.jpg,1988,new cairo,CairoCouture
11116,Men,Apparel,Topwear,Shirts,Grey,Formal,Indigo Nation Men Solid Grey Shirts,../input/fashion-product-images-dataset/fashion-dataset/images/11116.jpg,595,new cairo,CairoCouture
46443,Men,Accessories,Watches,Watches,Blue,Casual,Timex Men Blue Dial Watch,../input/fashion-product-images-dataset/fashion-dataset/images/46443.jpg,1725,new cairo,CairoCouture
21313,Women,Accessories,Eyewear,Sunglasses,Black,Casual,Celine Dion Women Black Frame Sunglasses,../input/fashion-product-images-dataset/fashion-dataset/images/21313.jpg,2131,new cairo,CairoCouture
12303,Men,Apparel,Topwear,Shirts,Red,Formal,Genesis Men Check Red Shirts,../input/fashion-product-images-dataset/fashion-dataset/images/12303.jpg,702,new cairo,CairoCouture
33877,Men,Accessories,Watches,Watches,Black,Casual,Citizen Men Black Chronograph Dial Watch,../input/fashion-product-images-dataset/fashion-dataset/images/33877.jpg,1756,new cairo,CairoCouture
48182,Women,Accessories,Bags,Handbags,Red,Casual,Fossil Women Red Handbag,../input/fashion-product-images-dataset/fashion-dataset/images/48182.jpg,816,new cairo,CairoCouture
29525,Women,Accessories,Watches,Watches,Black,Casual,Playboy Women Black Dial Watch,../input/fashion-product-images-dataset/fashion-dataset/images/29525.jpg,1854,new cairo,CairoCouture
15121,Men,Apparel,Bottomwear,Trousers,Charcoal,Formal,Arrow Men Autoflex Charcoal Trousers,../input/fashion-product-images-dataset/fashion-dataset/images/15121.jpg,856,new cairo,CairoCouture
3753,Men,Apparel,Topwear,Tshirts,Black,Casual,Status Quo Men's Music Revolution Black T-shirt,../input/fashion-product-images-dataset/fashion-dataset/images/3753.jpg,930,new cairo,CairoCouture
21126,Women,Apparel,Topwear,Shirts,White,Casual,s.Oliver Women White Shirt,../input/fashion-product-images-dataset/fashion-dataset/images/21126.jpg,690,new cairo,CairoCouture
4744,Men,Apparel,Topwear,Tshirts,Navy Blue,Sports,ADIDAS Men's Blue Polo T-shirt,../input/fashion-product-images-dataset/fashion-dataset/images/4744.jpg,689,new cairo,CairoCouture
16334,Men,Apparel,Topwear,Shirts,Peach,Formal,Peter England Men Stripes Peach Shirt,../input/fashion-product-images-dataset/fashion-dataset/images/16334.jpg,702,new cairo,CairoCouture
7763,Men,Apparel,Topwear,Tshirts,Blue,Casual,Inkfruit Men's Secret Behing Royal Blue Black T-shirt,../input/fashion-product-images-dataset/fashion-dataset/images/7763.jpg,815,new cairo,CairoCouture
22565,Women,Accessories,Bags,Handbags,Purple,Casual,Lino Perros Purple Women Casual Sling Bag,../input/fashion-product-images-dataset/fashion-dataset/images/22565.jpg,1102,new cairo,CairoCouture
5662,Men,Apparel,Topwear,Tshirts,Orange,Casual,Tantra Men's Absolut Bangalore Mustard T-shirt,../input/fashion-product-images-dataset/fashion-dataset/images/5662.jpg,512,new cairo,CairoCouture
15748,Men,Apparel,Bottomwear,Trousers,Black,Casual,Highlander Men Classic Chinos Black Trousers,../input/fashion-product-images-dataset/fashion-dataset/images/15748.jpg,581,new cairo,CairoCouture
